id,State,name,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
05061,AR,Howard County,"13,803","13,821","13,693","13,527","13,488","13,350","13,377"
05063,AR,Independence County,"36,805","36,831","36,925","36,873","37,113","37,073","37,168"
05065,AR,Izard County,"13,682","13,579","13,522","13,386","13,508","13,454","13,433"
05067,AR,Jackson County,"18,045","17,854","17,649","17,690","17,565","17,350","17,221"
05069,AR,Jefferson County,"77,321","76,033","74,618","73,150","72,376","71,764","70,016"
05071,AR,Johnson County,"25,552","25,692","25,911","25,896","25,998","26,146","26,176"
05073,AR,Lafayette County,"7,636","7,540","7,441","7,245","7,119","6,981","6,847"
05075,AR,Lawrence County,"17,498","17,293","17,047","17,067","16,987","16,741","16,735"
05077,AR,Lee County,"10,371","10,277","10,162","9,991","9,798","9,645","9,310"
05079,AR,Lincoln County,"14,072","14,322","14,139","14,023","13,967","13,841","13,705"
05081,AR,Little River County,"13,137","12,965","12,920","12,739","12,525","12,445","12,451"
05083,AR,Logan County,"22,313","22,283","22,018","22,111","21,959","21,796","21,792"
05085,AR,Lonoke County,"68,709","69,447","70,101","70,807","71,563","71,697","72,228"
05087,AR,Madison County,"15,694","15,681","15,619","15,684","15,714","15,717","16,072"
05089,AR,Marion County,"16,657","16,655","16,616","16,446","16,421","16,214","16,325"
05091,AR,Miller County,"43,541","43,750","43,649","43,440","43,556","43,899","43,787"
05093,AR,Mississippi County,"46,390","46,036","45,531","44,687","44,243","43,699","42,835"
05095,AR,Monroe County,"8,123","8,070","7,843","7,670","7,612","7,415","7,169"
05097,AR,Montgomery County,"9,490","9,383","9,320","9,222","9,107","8,972","8,879"
05099,AR,Nevada County,"8,974","9,009","8,911","8,791","8,689","8,553","8,398"
05101,AR,Newton County,"8,329","8,278","8,087","8,078","7,914","7,923","7,936"
05103,AR,Ouachita County,"26,077","25,727","25,405","24,969","24,799","24,370","24,098"
05105,AR,Perry County,"10,455","10,392","10,336","10,337","10,244","10,182","10,132"
05107,AR,Phillips County,"21,670","21,413","20,762","20,437","19,938","19,534","18,975"
05109,AR,Pike County,"11,273","11,239","11,270","11,126","11,002","10,854","10,832"
05111,AR,Poinsett County,"24,526","24,446","24,293","24,156","24,155","24,028","24,023"
05113,AR,Polk County,"20,669","20,562","20,440","20,361","20,252","20,225","20,173"
